Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU,GameID
30-Oct-24,ATL,120,WAS,133,L,5.5,L,233.5,O,30-Oct-24_ATL_WAS
28-Oct-24,WAS,121,ATL,119,L,-7.5,L,235.0,O,28-Oct-24_ATL_WAS
27-Oct-24,ATL,104,OKC,128,L,-10.5,L,230.5,O,27-Oct-24_ATL_OKC
25-Oct-24,CHR,120,ATL,125,W,-5.5,L,226.5,O,25-Oct-24_ATL_CHR
23-Oct-24,BKN,116,ATL,120,W,-6.5,L,223.5,O,23-Oct-24_ATL_BKN
30-Nov-24,ATL,107,CHR,104,W,5.5,L,223.5,U,30-Nov-24_ATL_CHR
29-Nov-24,CLE,101,ATL,117,W,5.5,W,243.5,U,29-Nov-24_ATL_CLE
27-Nov-24,ATL,135,CLE,124,W,-9.0,W,242.5,O,27-Nov-24_ATL_CLE
25-Nov-24,DAL,129,ATL,119,L,-2.5,L,236.0,O,25-Nov-24_ATL_DAL
22-Nov-24,ATL,122,CHI,136,L,2.0,L,246.5,O,22-Nov-24_ATL_CHI
20-Nov-24,ATL,97,GS,120,L,-7.5,L,239.5,U,20-Nov-24_ATL_GS
18-Nov-24,ATL,109,SAC,108,W,-4.0,W,235.5,U,18-Nov-24_ATL_SAC
17-Nov-24,ATL,110,POR,114,L,4.0,L,231.0,U,17-Nov-24_ATL_POR
15-Nov-24,WAS,117,ATL,129,W,-9.5,W,241.5,O,15-Nov-24_ATL_WAS
12-Nov-24,ATL,117,BOS,116,W,-16.0,W,225.5,O,12-Nov-24_ATL_BOS
9-Nov-24,CHI,125,ATL,113,L,-2.5,L,240.5,U,9-Nov-24_ATL_CHI
6-Nov-24,NY,116,ATL,121,W,7.0,W,227.0,O,6-Nov-24_ATL_NY
4-Nov-24,BOS,123,ATL,93,L,10.0,L,232.5,U,4-Nov-24_ATL_BOS
3-Nov-24,ATL,126,NOP,111,W,1.5,W,225.0,O,3-Nov-24_ATL_NOP
1-Nov-24,SAC,123,ATL,115,L,6.0,L,235.5,O,1-Nov-24_ATL_SAC
29-Nov-24,BOS,138,CHI,129,W,12.0,L,243.5,O,29-Nov-24_BOS_CHI
25-Nov-24,LAC,94,BOS,126,W,-10.5,W,218.5,O,25-Nov-24_BOS_LAC
24-Nov-24,MIN,105,BOS,107,W,-8.5,L,222.5,U,24-Nov-24_BOS_MIN
22-Nov-24,BOS,108,WAS,96,W,15.5,L,238.0,U,22-Nov-24_BOS_WAS
19-Nov-24,CLE,117,BOS,120,W,-6.5,L,234.5,O,19-Nov-24_BOS_CLE
16-Nov-24,TOR,123,BOS,126,W,-16.5,L,230.5,O,16-Nov-24_BOS_TOR
13-Nov-24,BOS,139,BKN,114,W,10.0,W,219.5,O,13-Nov-24_BKN_BOS
10-Nov-24,BOS,113,MIL,107,W,5.0,W,230.0,U,10-Nov-24_BOS_MIL
6-Nov-24,GS,118,BOS,112,L,-6.5,L,228.5,O,6-Nov-24_BOS_GS
