,Feature,Spearman_Correlation
0,fieldGoalPercentage_my_player_1,0.3072064487836977
1,uncontestedFieldGoalsPercentage_my_player_1,0.23842148161737328
2,fieldGoalPercentage_my_player_4,0.2348391052699724
3,fieldGoalPercentage_my_player_3,0.2288246425263721
4,fieldGoalPercentage_my_player_2,0.22711456167440158
5,uncontestedFieldGoalsMade_my_player_1,0.2189679025580204
6,fieldGoalPercentage_my_player_6,0.20427246020403045
7,fieldGoalPercentage_my_player_5,0.19965801469472166
8,uncontestedFieldGoalsPercentage_my_player_2,0.19937591030844368
9,uncontestedFieldGoalsPercentage_my_player_6,0.1901359505072547
10,uncontestedFieldGoalsPercentage_my_player_3,0.18768111193587625
11,uncontestedFieldGoalsPercentage_my_player_4,0.18534403850279796
12,fieldGoalPercentage_my_player_7,0.18342916383034033
13,uncontestedFieldGoalsMade_my_player_6,0.1779363857072269
14,uncontestedFieldGoalsMade_my_player_2,0.17349152451763028
15,REF_BIAS,0.0
16,DISTANCE,0.0
17,RECENT_WIN_PCT,0.0
18,IS_BACK_TO_BACK,0.0
19,REST_DAYS,0.0
20,CLOSE_WIN_PCT,0.0
21,reboundChancesTotal_my_player_5,-0.0421052288725921
22,secondaryAssists_opposing_player_2,-0.0481511329007919
23,reboundChancesTotal_opposing_player_6,-0.05535128557292173
24,secondaryAssists_opposing_player_3,-0.055962522119686886
25,reboundChancesOffensive_my_player_5,-0.05693069875134927
26,assists_opposing_player_1,-0.057862816252022956
27,reboundChancesTotal_opposing_player_4,-0.06362372540711701
28,reboundChancesOffensive_my_player_2,-0.06464358298637965
29,secondaryAssists_opposing_player_7,-0.06758106963981014
30,reboundChancesTotal_opposing_player_7,-0.06876173537818607
31,reboundChancesTotal_opposing_player_1,-0.07687629600590436
32,reboundChancesTotal_opposing_player_5,-0.08723599512917812
33,reboundChancesTotal_opposing_player_3,-0.09637691639909629
34,OPPONENT_WIN_PCT,-0.11322863765912483
35,reboundChancesTotal_opposing_player_2,-0.12110732502472447
36,fieldGoalPercentage_my_player_1,0.28828835229388267
37,fieldGoalPercentage_my_player_2,0.28229885887839634
38,fieldGoalPercentage_my_player_4,0.27483905127583186
39,fieldGoalPercentage_my_player_3,0.2710038850782119
40,uncontestedFieldGoalsPercentage_my_player_1,0.2649053910488484
41,uncontestedFieldGoalsPercentage_my_player_2,0.2418827009268103
42,uncontestedFieldGoalsMade_my_player_1,0.23181339282741428
43,uncontestedFieldGoalsMade_my_player_3,0.22430475826310586
44,uncontestedFieldGoalsPercentage_my_player_4,0.2196401400027231
45,uncontestedFieldGoalsPercentage_my_player_3,0.2192255349399145
46,assists_my_player_1,0.21251027017926258
47,fieldGoalPercentage_my_player_6,0.21230324127679018
48,uncontestedFieldGoalsMade_my_player_2,0.20285020284522945
49,uncontestedFieldGoalsMade_my_player_4,0.1978099854626432
50,fieldGoalPercentage_my_player_5,0.18747303908626498
51,reboundChancesTotal_opposing_player_3,-0.06258986334699142
52,personId_my_player_4,-0.06378051661851585
53,reboundChancesTotal_opposing_player_4,-0.06425315951453008
54,reboundChancesTotal_opposing_player_7,-0.06762834473013796
55,REST_DAYS,-0.069276296509272
56,personId_my_player_6,-0.08442523037497511
57,reboundChancesOffensive_my_player_1,-0.08803883213060217
58,reboundChancesTotal_opposing_player_5,-0.09008752734154772
59,personId_my_player_2,-0.11250029125997828
60,personId_my_player_3,-0.11752868349352495
61,reboundChancesTotal_opposing_player_1,-0.12382715119460407
62,teamId,-0.12514955832076716
63,personId_my_player_1,-0.12714637845479357
64,reboundChancesTotal_opposing_player_2,-0.12882452101029684
65,OPPONENT_WIN_PCT,-0.162450222553089
