Info,Info,Info,Per Game,Per Game,Per Game,Per Game,Per Game Relative,Per Game Relative,Per Game Relative,Per Game Relative,Home Teams,Home Teams,Home Teams,Home Teams,Home Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*
Referee,Lg,G,FGA,FTA,PF,PTS,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS
Agon Abazi,NBA,2,166,45,42.5,205,-11.4,0.6,3.6,-20.8,0,83,25,19.5,98,1,83,20,23,107,-1,0,5,-3.5,-9,-1.147,0.2,4.9,-3.4,-10.9
Ray Acosta,NBA,15,174.5,42.3,36.9,228.4,-2.9,-2.1,-2,2.6,0.467,87.9,21.5,18.3,115,0.533,86.6,20.9,18.5,113.4,-0.067,1.3,0.6,-0.2,1.6,-0.214,1.5,0.5,-0.1,-0.3
Brandon Adair,NBA,10,179.7,35.3,32.4,220.4,2.3,-9.1,-6.5,-5.4,0.6,86.9,16.1,16.8,110.3,0.4,92.8,19.2,15.6,110.1,0.2,-5.9,-3.1,1.2,0.2,0.053,-5.7,-3.2,1.3,-1.7
Brent Barnaky,NBA,14,175.6,45.1,39.1,226.9,-1.8,0.7,0.2,1.1,0.357,87.6,22.1,20,113.6,0.643,88,23,19.1,113.4,-0.286,-0.4,-0.9,0.9,0.2,-0.433,-0.2,-1,1,-1.7
Curtis Blair,NBA,15,176.7,40.3,37.4,221.7,-0.7,-4.1,-1.5,-4.1,0.4,88.2,20.3,19.2,107.4,0.6,88.5,20.1,18.2,114.3,-0.2,-0.3,0.2,1,-6.9,-0.347,-0.1,0.1,1.1,-8.8
Matt Boland,NBA,7,182.1,44,39.6,232.7,4.7,-0.4,0.7,6.9,0.286,90.3,23.9,19,113.7,0.714,91.9,20.1,20.6,119,-0.429,-1.6,3.7,-1.6,-5.3,-0.576,-1.4,3.6,-1.5,-7.2
Tony Brothers,NBA,14,170,48.9,40.9,225,-7.4,4.5,2,-0.8,0.571,85.1,23.8,20.4,112,0.429,84.9,25.1,20.6,113,0.143,0.1,-1.4,-0.2,-1,-0.004,0.3,-1.5,-0.1,-2.9
Nick Buchert,NBA,16,176.1,42.3,38.5,218.1,-1.3,-2.1,-0.4,-7.7,0.75,88.2,19.9,19.8,110.4,0.25,87.9,22.4,18.8,107.6,0.5,0.3,-2.5,1,2.8,0.353,0.5,-2.6,1.1,0.9
John Butler,NBA,13,171.1,46.5,40.3,216.7,-6.3,2.1,1.4,-9.1,0.231,84.5,24.1,20,106.8,0.769,86.5,22.5,20.3,109.8,-0.538,-2,1.6,-0.3,-3,-0.685,-1.8,1.5,-0.2,-4.9
James Capers Jr.,NBA,15,179.9,43.3,38.1,227.2,2.5,-1.1,-0.8,1.4,0.667,89.5,21.1,20.2,115.8,0.333,90.3,22.3,17.9,111.4,0.333,-0.8,-1.2,2.3,4.4,0.186,-0.6,-1.3,2.4,2.5
Derrick Collins,NBA,10,169.6,44.8,39.1,224.3,-7.8,0.4,0.2,-1.5,0.6,82.8,24.7,18.7,113.6,0.4,86.8,20.1,20.4,110.7,0.2,-4,4.6,-1.7,2.9,0.053,-3.8,4.5,-1.6,1
